ngram,freq1,freq2,LR,LL,Len_Corpus1,Len_Corpus2
re'ers,265,4,4.75168462583719,167.01280720854933,6752856,3083437
zoomed,146,2,4.741870336010234,93.27613403342558,6752856,3083437
nautical,318,5,4.724759520094352,199.20411150932736,6752856,3083437
repeatable,143,2,4.712020408263674,91.10193216553878,6752856,3083437
distance,9176,160,4.706340375642198,5655.134626811241,6752856,3083437
ae,141,2,4.691771724419868,89.65342450175021,6752856,3083437
horizontal,820,14,4.691420104861489,507.1023138472573,6752856,3083437
maps,2460,43,4.69083388175676,1515.4758806036016,6752856,3083437
earths,423,7,4.688369140199029,262.8967269872432,6752856,3083437
satellite,2228,39,4.6871180739108995,1372.231935205564,6752856,3083437
discrepancies,140,2,4.6815398018089125,88.92946686942157,6752856,3083437
experiments,2778,49,4.679775481346228,1708.8187633886487,6752856,3083437
vertical,689,12,4.654592128214604,424.70923592950555,6752856,3083437
shore,247,4,4.6504012900000085,154.03110261812122,6752856,3083437
magnets,245,4,4.63869578934773,152.5911669518162,6752856,3083437
shortest,299,5,4.636022150626837,185.52293863016783,6752856,3083437
celestial,2094,38,4.634645204646971,1281.937353446988,6752856,3083437
downwards,352,6,4.630081305620413,217.7400750280229,6752856,3083437
gravitational,1700,31,4.623504943683274,1039.8731607494337,6752856,3083437
rotated,134,2,4.618575844144611,84.59004973301754,6752856,3083437
observer,2530,47,4.604392727153123,1542.6414298719114,6752856,3083437
galileo,239,4,4.602998420769216,148.2745419528849,6752856,3083437
telescope,1401,26,4.593877150944643,854.3959814020862,6752856,3083437
poles,1027,19,4.588562036182146,626.6504136366914,6752856,3083437
calculations,1235,23,4.585332020126496,752.7026495356031,6752856,3083437
flatness,183,3,4.581322907260957,113.90354647328235,6752856,3083437
tilt,494,9,4.570940773790874,302.2220600686347,6752856,3083437
landings,232,4,4.56020348102843,143.24476667114843,6752856,3083437
photographic,232,4,4.56020348102843,143.24476667114843,6752856,3083437
headlights,128,2,4.552738030781865,80.25854208015502,6752856,3083437
earthâs,177,3,4.533361868809789,109.58855553409799,6752856,3083437
gravitons,126,2,4.530107056282296,78.81659107980327,6752856,3083437
rotates,428,8,4.5247301293375095,260.69008669958635,6752856,3083437
lens,831,16,4.524219910404164,503.51411775429955,6752856,3083437
rays,1234,24,4.524042853502922,746.3474981818673,6752856,3083437
telescopes,474,9,4.511378340052873,287.91459830853546,6752856,3083437
visibility,274,5,4.51027229684325,167.58288294521486,6752856,3083437
bulge,224,4,4.5096882097741835,137.50524844297476,6752856,3083437
ge,174,3,4.508769880627397,107.43357500336126,6752856,3083437
measurement,869,17,4.503800776836969,525.035390658372,6752856,3083437
doppler,223,4,4.503247596216354,136.78849937793217,6752856,3083437
height,2687,54,4.492906291062607,1615.4617548814008,6752856,3083437
magnet,466,9,4.486847333883522,282.2002777672543,6752856,3083437
map,7383,151,4.475956736722901,4424.277102386173,6752856,3083437
illustration,314,6,4.465518065213546,190.51408618133132,6752856,3083437
dip,604,12,4.464783915949748,363.90091851854356,6752856,3083437
earther,1120,23,4.4443796583081046,670.6493003075685,6752856,3083437
umbra,118,2,4.435856730486245,73.05903702273199,6752856,3083437
irrefutable,118,2,4.435856730486245,73.05903702273199,6752856,3083437
spherical,2004,42,4.428677342488418,1195.3517645427205,6752856,3083437
rotational,258,5,4.423630428152986,156.14335144507163,6752856,3083437
bends,258,5,4.423630428152986,156.14335144507163,6752856,3083437
angle,3494,74,4.420743387370721,2079.907932843006,6752856,3083437
chile,210,4,4.4167929980994325,127.48567768100466,6752856,3083437
accelerate,536,11,4.4129139811748574,320.9928251675524,6752856,3083437
scattering,116,2,4.411299626242267,71.62238333557421,6752856,3083437
antenna,208,4,4.4030201484777,126.05705636010356,6752856,3083437
binoculars,208,4,4.4030201484777,126.05705636010356,6752856,3083437
anomalies,254,5,4.401131803913747,153.28919114861384,6752856,3083437
observers,577,12,4.398862523004044,344.6773548549839,6752856,3083437
